,ntips,height,tc,tg,Ne,block-mean,uRF-mean,lRF-5K-mean,half-life
0,10,100000,0.2,10000,25000,1706.48,0.4,0.19,6576.0
1,10,1000000,0.2,100000,250000,174.34,0.4,0.4,607.0
2,10,10000000,0.2,1000000,2500000,18.31,0.4,0.4,67.0
3,10,100000,1.0,10000,5000,4761.9,0.22,0.05,16715.0
4,10,1000000,1.0,100000,50000,525.21,0.22,0.15,2359.0
5,10,10000000,1.0,1000000,500000,56.01,0.22,0.2,270.0
6,10,100000,2.0,10000,2500,8849.56,0.08,0.01,22627.0
7,10,1000000,2.0,100000,25000,906.62,0.08,0.05,4659.0
8,10,10000000,2.0,1000000,250000,93.03,0.08,0.08,443.0
9,50,100000,0.2,2000,5000,1485.88,0.47,0.13,15890.0
10,50,1000000,0.2,20000,50000,149.97,0.47,0.39,1838.0
11,50,10000000,0.2,200000,500000,15.01,0.47,0.47,185.0
12,50,100000,1.0,2000,1000,4830.92,0.24,0.01,84731.0
13,50,1000000,1.0,20000,10000,509.42,0.24,0.09,11884.0
14,50,10000000,1.0,200000,100000,51.67,0.24,0.22,1233.0
15,50,100000,2.0,2000,500,9900.99,0.09,0.0,124415.0
16,50,1000000,2.0,20000,5000,866.55,0.09,0.02,23019.0
17,50,10000000,2.0,200000,50000,87.15,0.09,0.08,2048.0
18,100,100000,0.2,1000,2500,1345.9,0.47,0.08,26873.0
19,100,1000000,0.2,10000,25000,138.48,0.47,0.34,3128.0
20,100,10000000,0.2,100000,250000,14.57,0.47,0.47,345.0
21,100,100000,1.0,1000,500,5405.41,0.24,0.01,178444.0
22,100,1000000,1.0,10000,5000,474.38,0.24,0.05,22688.0
23,100,10000000,1.0,100000,50000,51.79,0.24,0.19,2499.0
24,100,100000,2.0,1000,250,7299.27,0.09,0.0,218558.0
25,100,1000000,2.0,10000,2500,877.19,0.09,0.01,39616.0
26,100,10000000,2.0,100000,25000,85.03,0.09,0.06,4169.0
