,ntips,tc,height,uRF-mean,uRF-std,block-size,tg,block-mean,block-std,Ne
0,10,0.2,100000,0.4046207318429542,0.05142319902528234,0,10000,1706.4846416382252,1661.3757250434705,25000
1,10,0.2,1000000,0.4046677788900012,0.05137806372949305,0,100000,174.33751743375174,175.26593795982166,250000
2,10,0.2,10000000,0.4046909131353575,0.051335818734628565,0,1000000,18.30630102881412,18.29712309165899,2500000
3,10,1.0,100000,0.21583372261150036,0.0878652379359464,0,10000,4761.9047619047615,4251.733746055324,5000
4,10,1.0,1000000,0.21604337671004342,0.08782857083398612,0,100000,525.2100840336135,514.828841133479,50000
5,10,1.0,10000000,0.21526170615059498,0.08799675854295859,0,1000000,56.00672080649678,56.30903941135917,500000
6,10,2.0,100000,0.07957123790457125,0.06386246561559755,0,10000,8849.557522123894,9087.023837926072,2500
7,10,2.0,1000000,0.07946991435880324,0.06403016180645295,0,100000,906.6183136899365,947.0020469193222,25000
8,10,2.0,10000000,0.07928361695028363,0.06365460585855033,0,1000000,93.03190994511117,93.28343189078508,250000
9,50,0.2,100000,0.4666018263161121,0.017513771336589535,0,2000,1485.8841010401188,1458.3592026412405,5000
10,50,0.2,1000000,0.4666156156156155,0.01752394885260924,0,20000,149.97000599880025,146.59715639761492,50000
11,50,0.2,10000000,0.46687603930461075,0.017472849718529943,0,200000,15.008705048928379,14.526796819066433,500000
12,50,1.0,100000,0.23967373495944921,0.03933809497653792,0,2000,4830.917874396136,4603.760211550516,1000
13,50,1.0,1000000,0.23989979775694065,0.03946478721364079,0,20000,509.4243504839531,511.6432529661994,10000
14,50,1.0,10000000,0.2395504484075912,0.03941409109005743,0,200000,51.666236114699046,50.97392986164584,100000
15,50,2.0,100000,0.08684331270045557,0.0267787295785102,0,2000,9900.990099009901,11336.994102931385,500
16,50,2.0,1000000,0.08702849788564072,0.02675515012842417,0,20000,866.5511265164645,868.1719584402467,5000
17,50,2.0,10000000,0.0869084390512962,0.026623385145577824,0,200000,87.15356458079135,86.86796507134102,50000
18,100,0.2,100000,0.4736155448377671,0.012013230446281815,0,1000,1345.8950201884254,1374.8183059623298,2500
19,100,0.2,1000000,0.4735758890203334,0.012009074941863814,0,10000,138.48497438027974,137.71887621890204,25000
20,100,0.2,10000000,0.47357073234851016,0.012010577752946271,0,100000,14.574285131314308,14.141539357244717,250000
21,100,1.0,100000,0.24109900809900806,0.027801959021508223,0,1000,5405.405405405405,5311.017490635875,500
22,100,1.0,1000000,0.24095169917392134,0.027826629307005944,0,10000,474.3833017077799,477.6224280874585,5000
23,100,1.0,10000000,0.24057585868696976,0.027695939414476404,0,100000,51.78663904712584,50.95044093428954,50000
24,100,2.0,100000,0.08842816553927663,0.019024846099348524,0,1000,7299.270072992701,7708.487460836735,250
25,100,2.0,1000000,0.08841738708405376,0.018971773361236965,0,10000,877.1929824561404,875.5945254996968,2500
26,100,2.0,10000000,0.08830843975288419,0.0188916266347398,0,100000,85.03401360544218,84.66066008371205,25000
