,ntips,tc,height,decay_rate,log_decay
0,10,0.2,100000,-0.00010539949879298096,-9.157752677153129
1,10,0.2,1000000,-0.0011413442903443862,-6.775548509231915
2,10,0.2,10000000,-0.010332377974176259,-4.57247282155122
3,10,1.0,100000,-4.1467219498421746e-05,-10.090607334460666
4,10,1.0,1000000,-0.000293769763709306,-8.13271421405662
5,10,1.0,10000000,-0.002560871284540722,-5.967407732871346
6,10,2.0,100000,-3.06327779173262e-05,-10.393439948534366
7,10,2.0,1000000,-0.0001487458455588093,-8.813271442944965
8,10,2.0,10000000,-0.001561308287190498,-6.462231163552517
9,50,0.2,100000,-4.362029174898527e-05,-10.039988108790755
10,50,0.2,1000000,-0.0003769592710765304,-7.883373410632147
11,50,0.2,10000000,-0.0037301266523976067,-5.591313090836491
12,50,1.0,100000,-8.18046537813126e-06,-11.713761516775833
13,50,1.0,1000000,-5.8325391119607704e-05,-9.749473034213723
14,50,1.0,10000000,-0.0005620710748198672,-7.483882248415933
15,50,2.0,100000,-5.571209824729164e-06,-12.09789832388882
16,50,2.0,1000000,-3.0111235537406372e-05,-10.410612182190743
17,50,2.0,10000000,-0.0003384404809400223,-7.991162312859396
18,100,0.2,100000,-2.579336607636519e-05,-10.56539322792304
19,100,0.2,1000000,-0.00022154192257873453,-8.41489871966662
20,100,0.2,10000000,-0.0020044383876232047,-6.212391363384184
21,100,1.0,100000,-3.88438877545161e-06,-12.45854491587831
22,100,1.0,1000000,-3.0550181398885534e-05,-10.396139934593904
23,100,1.0,10000000,-0.00027736553377964474,-8.190174305172588
24,100,2.0,100000,-3.1714544654570958e-06,-12.661320253390917
25,100,2.0,1000000,-1.7496359799680155e-05,-10.953517710119035
26,100,2.0,10000000,-0.00016625540511208415,-8.701985367004427
